,Unnamed: 0,track_name,song_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,cluster
5492,10671,Robbery,6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,https://api.spotify.com/v1/tracks/6Hj9jySrnFppAI0sEMCZpJ,https://api.spotify.com/v1/audio-analysis/6Hj9jySrnFppAI0sEMCZpJ,240051,5,1
5493,10672,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,spotify:track:6kls8cSlUyHW2BUOkDJIZE,https://api.spotify.com/v1/tracks/6kls8cSlUyHW2BUOkDJIZE,https://api.spotify.com/v1/audio-analysis/6kls8cSlUyHW2BUOkDJIZE,186223,4,1
5494,10674,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,spotify:track:6kls8cSlUyHW2BUOkDJIZE,https://api.spotify.com/v1/tracks/6kls8cSlUyHW2BUOkDJIZE,https://api.spotify.com/v1/audio-analysis/6kls8cSlUyHW2BUOkDJIZE,186223,4,1
5495,10676,Feeling,2Jh3UqxnHJMyzMzku4uOtE,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.712,0.515,10,-6.004,0,0.0857,0.234,0.0,0.205,0.563,160.0,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,https://api.spotify.com/v1/tracks/2Jh3UqxnHJMyzMzku4uOtE,https://api.spotify.com/v1/audio-analysis/2Jh3UqxnHJMyzMzku4uOtE,201920,4,2
5496,10677,Fast,6MjNilJCVKJq0LfFvo5jWJ,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.623,0.608,1,-5.937,0,0.0434,0.426,0.0,0.105,0.263,84.98,spotify:track:6MjNilJCVKJq0LfFvo5jWJ,https://api.spotify.com/v1/tracks/6MjNilJCVKJq0LfFvo5jWJ,https://api.spotify.com/v1/audio-analysis/6MjNilJCVKJq0LfFvo5jWJ,208518,4,2
5497,10678,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.715,0.639,5,-5.017,0,0.0752,0.0622,0.0,0.157,0.151,149.996,spotify:track:6rz0dTA0PdhXImFV5EjM0w,https://api.spotify.com/v1/tracks/6rz0dTA0PdhXImFV5EjM0w,https://api.spotify.com/v1/audio-analysis/6rz0dTA0PdhXImFV5EjM0w,205800,4,2
5498,10680,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,Seezyn,1jIVEaq8GmqMYb8nFNAZgb,0.715,0.639,5,-5.017,0,0.0752,0.0622,0.0,0.157,0.151,149.996,spotify:track:6rz0dTA0PdhXImFV5EjM0w,https://api.spotify.com/v1/tracks/6rz0dTA0PdhXImFV5EjM0w,https://api.spotify.com/v1/audio-analysis/6rz0dTA0PdhXImFV5EjM0w,205800,4,2
5499,10682,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,spotify:track:3oDkdAySo1VQQG0ptV7uwa,https://api.spotify.com/v1/tracks/3oDkdAySo1VQQG0ptV7uwa,https://api.spotify.com/v1/audio-analysis/3oDkdAySo1VQQG0ptV7uwa,175755,4,2
5500,10683,Out My Way,0baYVkFX4vIXXmIuHRWXDN,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.664,0.832,10,-3.166,0,0.34,0.107,0.0,0.776,0.498,164.144,spotify:track:0baYVkFX4vIXXmIuHRWXDN,https://api.spotify.com/v1/tracks/0baYVkFX4vIXXmIuHRWXDN,https://api.spotify.com/v1/audio-analysis/0baYVkFX4vIXXmIuHRWXDN,156621,4,1
5501,10684,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.742,0.579,0,-5.024,1,0.202,0.0381,0.0,0.0952,0.502,144.994,spotify:track:1a7WZZZH7LzyvorhpOJFTe,https://api.spotify.com/v1/tracks/1a7WZZZH7LzyvorhpOJFTe,https://api.spotify.com/v1/audio-analysis/1a7WZZZH7LzyvorhpOJFTe,258475,4,2
5502,10686,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,0.742,0.579,0,-5.024,1,0.202,0.0381,0.0,0.0952,0.502,144.994,spotify:track:1a7WZZZH7LzyvorhpOJFTe,https://api.spotify.com/v1/tracks/1a7WZZZH7LzyvorhpOJFTe,https://api.spotify.com/v1/audio-analysis/1a7WZZZH7LzyvorhpOJFTe,258475,4,2
5503,10688,Hurt Me,3XRQT7EoS4U87rUuJwg5P3,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.62,0.451,6,-7.623,1,0.17,0.128,0.0,0.373,0.294,156.906,spotify:track:3XRQT7EoS4U87rUuJwg5P3,https://api.spotify.com/v1/tracks/3XRQT7EoS4U87rUuJwg5P3,https://api.spotify.com/v1/audio-analysis/3XRQT7EoS4U87rUuJwg5P3,122285,4,2
5504,10689,Murder on My Mind,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,https://api.spotify.com/v1/tracks/7eBqSVxrzQZtK2mmgRG6lC,https://api.spotify.com/v1/audio-analysis/7eBqSVxrzQZtK2mmgRG6lC,268434,4,1
5505,10690,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,spotify:track:3XiNC94b4Tq1xwv70sQJGN,https://api.spotify.com/v1/tracks/3XiNC94b4Tq1xwv70sQJGN,https://api.spotify.com/v1/audio-analysis/3XiNC94b4Tq1xwv70sQJGN,243976,4,2
5506,10691,Dear Society,0L1IszgjzIZRBENyHJTQms,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,0.65,0.594,7,-6.374,0,0.0492,0.161,0.0,0.133,0.416,145.944,spotify:track:0L1IszgjzIZRBENyHJTQms,https://api.spotify.com/v1/tracks/0L1IszgjzIZRBENyHJTQms,https://api.spotify.com/v1/audio-analysis/0L1IszgjzIZRBENyHJTQms,179577,4,2
5507,10692,Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,0.704,0.56,1,-6.791,0,0.179,0.185,0.0,0.0948,0.609,75.003,spotify:track:3WefHNGtjexZvi66ZEx9u4,https://api.spotify.com/v1/tracks/3WefHNGtjexZvi66ZEx9u4,https://api.spotify.com/v1/audio-analysis/3WefHNGtjexZvi66ZEx9u4,207109,4,2
